Dispatch_Date,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Burglary Non-Residential,Burglary Residential,DRIVING UNDER THE INFLUENCE,Disorderly Conduct,Fraud,Motor Vehicle Theft,Narcotic / Drug Law Violations,Other Assaults,Other Sex Offenses (Not Commercialized),Rape,Recovered Stolen Motor Vehicle,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vandalism/Criminal Mischief,Weapon Violations
2006-02-05,6.0,5.0,79.0,3.0,3.0,8.0,6.0,5.0,13.0,11.0,28.0,,2.0,7.0,3.0,5.0,13.0,15.0,21.0,1.0
2006-02-06,1.0,7.0,24.0,4.0,13.0,6.0,5.0,23.0,7.0,15.0,26.0,2.0,,14.0,5.0,3.0,17.0,28.0,16.0,6.0
2006-02-07,1.0,4.0,60.0,3.0,7.0,3.0,6.0,18.0,8.0,37.0,35.0,2.0,,17.0,3.0,5.0,10.0,12.0,20.0,2.0
2006-02-08,4.0,9.0,41.0,1.0,10.0,3.0,2.0,16.0,6.0,24.0,39.0,2.0,1.0,9.0,4.0,2.0,26.0,19.0,25.0,
2006-02-09,3.0,5.0,29.0,1.0,11.0,3.0,2.0,10.0,7.0,17.0,28.0,1.0,2.0,7.0,1.0,3.0,12.0,13.0,20.0,3.0
2006-02-10,2.0,8.0,31.0,4.0,12.0,7.0,4.0,9.0,5.0,11.0,34.0,2.0,,19.0,9.0,5.0,17.0,23.0,18.0,4.0
2006-02-11,3.0,6.0,63.0,4.0,5.0,9.0,2.0,6.0,6.0,13.0,19.0,1.0,,9.0,1.0,5.0,18.0,10.0,20.0,2.0
2006-02-12,7.0,7.0,17.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,18.0,,1.0,6.0,3.0,1.0,13.0,7.0,15.0,1.0
2006-02-13,1.0,5.0,32.0,3.0,8.0,2.0,3.0,13.0,10.0,10.0,12.0,,,7.0,7.0,7.0,16.0,17.0,14.0,
2006-02-14,3.0,5.0,36.0,3.0,8.0,5.0,7.0,11.0,8.0,13.0,22.0,1.0,,10.0,5.0,2.0,14.0,18.0,24.0,8.0
2006-02-15,2.0,10.0,53.0,3.0,9.0,3.0,7.0,9.0,5.0,25.0,21.0,3.0,,8.0,4.0,6.0,12.0,15.0,20.0,6.0
2006-02-16,1.0,4.0,49.0,4.0,4.0,3.0,4.0,19.0,11.0,16.0,28.0,1.0,3.0,9.0,3.0,8.0,15.0,27.0,17.0,2.0
2006-02-17,5.0,6.0,29.0,4.0,11.0,3.0,11.0,8.0,8.0,21.0,23.0,4.0,2.0,12.0,11.0,7.0,7.0,18.0,20.0,1.0
2006-02-18,3.0,13.0,27.0,2.0,4.0,15.0,5.0,11.0,14.0,26.0,23.0,,,11.0,7.0,3.0,12.0,23.0,24.0,2.0
2006-02-19,5.0,12.0,48.0,3.0,5.0,8.0,2.0,9.0,8.0,17.0,19.0,1.0,1.0,10.0,6.0,4.0,9.0,13.0,25.0,1.0
2006-02-20,3.0,11.0,114.0,4.0,8.0,10.0,3.0,17.0,11.0,28.0,18.0,4.0,1.0,12.0,5.0,4.0,9.0,16.0,19.0,1.0
2006-02-21,,5.0,43.0,2.0,10.0,3.0,3.0,16.0,11.0,16.0,37.0,3.0,4.0,11.0,1.0,6.0,19.0,16.0,22.0,4.0
2006-02-22,6.0,6.0,72.0,3.0,10.0,3.0,2.0,14.0,5.0,27.0,25.0,4.0,1.0,15.0,6.0,5.0,20.0,26.0,25.0,6.0
2006-02-23,,9.0,46.0,3.0,9.0,7.0,6.0,12.0,5.0,14.0,32.0,1.0,2.0,15.0,8.0,4.0,16.0,23.0,13.0,3.0
2006-02-24,1.0,3.0,30.0,1.0,9.0,7.0,6.0,14.0,5.0,20.0,31.0,1.0,,12.0,2.0,7.0,18.0,17.0,16.0,4.0
2006-02-25,3.0,6.0,49.0,1.0,6.0,8.0,3.0,6.0,6.0,13.0,23.0,1.0,2.0,9.0,2.0,3.0,17.0,23.0,27.0,1.0
2006-02-26,1.0,7.0,71.0,3.0,7.0,2.0,3.0,3.0,7.0,7.0,25.0,1.0,2.0,9.0,5.0,2.0,11.0,11.0,31.0,
2006-02-27,,4.0,39.0,6.0,13.0,2.0,4.0,8.0,12.0,14.0,16.0,1.0,1.0,12.0,3.0,3.0,16.0,25.0,20.0,9.0
2006-02-28,3.0,8.0,44.0,1.0,6.0,5.0,1.0,12.0,6.0,10.0,20.0,1.0,1.0,6.0,4.0,5.0,14.0,20.0,13.0,4.0
2006-03-01,3.0,12.0,51.0,,8.0,2.0,4.0,13.0,2.0,16.0,44.0,2.0,,11.0,3.0,8.0,16.0,30.0,17.0,7.0
2006-03-02,2.0,8.0,51.0,6.0,9.0,4.0,4.0,17.0,5.0,23.0,31.0,1.0,,14.0,4.0,4.0,10.0,17.0,21.0,4.0
