Dispatch_Date,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Burglary Non-Residential,Burglary Residential,DRIVING UNDER THE INFLUENCE,Disorderly Conduct,Fraud,Motor Vehicle Theft,Narcotic / Drug Law Violations,Other Assaults,Other Sex Offenses (Not Commercialized),Prostitution and Commercialized Vice,Recovered Stolen Motor Vehicle,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vandalism/Criminal Mischief,Weapon Violations
2006-02-04,13.0,15.0,107.0,4.0,13.0,21.0,14.0,11.0,14.0,25.0,51.0,,,11.0,5.0,9.0,34.0,33.0,55.0,3.0
2006-02-05,8.0,15.0,152.0,5.0,10.0,15.0,5.0,7.0,15.0,22.0,47.0,1.0,,12.0,11.0,8.0,43.0,31.0,43.0,1.0
2006-02-06,5.0,12.0,49.0,8.0,17.0,9.0,6.0,34.0,15.0,33.0,64.0,3.0,,17.0,8.0,10.0,37.0,35.0,46.0,10.0
2006-02-07,6.0,15.0,91.0,5.0,16.0,9.0,9.0,28.0,15.0,62.0,75.0,3.0,,27.0,8.0,9.0,35.0,33.0,35.0,6.0
2006-02-08,4.0,11.0,98.0,1.0,11.0,8.0,3.0,32.0,15.0,42.0,65.0,9.0,5.0,21.0,5.0,7.0,43.0,29.0,46.0,5.0
2006-02-09,8.0,8.0,80.0,5.0,14.0,10.0,5.0,26.0,15.0,45.0,62.0,2.0,4.0,19.0,10.0,12.0,29.0,26.0,35.0,5.0
2006-02-10,1.0,14.0,64.0,8.0,22.0,16.0,6.0,21.0,15.0,29.0,72.0,9.0,4.0,28.0,8.0,10.0,36.0,34.0,33.0,10.0
2006-02-11,5.0,5.0,108.0,4.0,13.0,16.0,6.0,11.0,13.0,23.0,44.0,3.0,,30.0,4.0,8.0,29.0,24.0,42.0,3.0
2006-02-12,4.0,10.0,32.0,4.0,3.0,2.0,2.0,2.0,6.0,6.0,29.0,,,18.0,4.0,8.0,17.0,10.0,21.0,1.0
2006-02-13,4.0,7.0,66.0,6.0,13.0,3.0,1.0,24.0,8.0,14.0,24.0,4.0,,16.0,12.0,10.0,18.0,33.0,24.0,1.0
2006-02-14,3.0,12.0,104.0,8.0,11.0,5.0,4.0,15.0,13.0,35.0,42.0,2.0,5.0,17.0,3.0,9.0,24.0,30.0,34.0,7.0
2006-02-15,4.0,16.0,105.0,2.0,18.0,12.0,13.0,25.0,15.0,32.0,54.0,12.0,4.0,15.0,6.0,8.0,22.0,28.0,44.0,7.0
2006-02-16,6.0,15.0,88.0,4.0,14.0,6.0,9.0,20.0,14.0,32.0,65.0,5.0,6.0,20.0,4.0,14.0,27.0,37.0,50.0,3.0
