Dispatch_Date,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Burglary Non-Residential,Burglary Residential,DRIVING UNDER THE INFLUENCE,Disorderly Conduct,Fraud,Motor Vehicle Theft,Narcotic / Drug Law Violations,Other Assaults,Other Sex Offenses (Not Commercialized),Recovered Stolen Motor Vehicle,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vagrancy/Loitering,Vandalism/Criminal Mischief,Weapon Violations
2006-02-06,,3.0,18.0,5.0,4.0,4.0,2.0,11.0,6.0,3.0,5.0,,7.0,3.0,3.0,16.0,19.0,,9.0,2.0
2006-02-07,,1.0,34.0,2.0,4.0,,6.0,12.0,2.0,11.0,16.0,,12.0,3.0,5.0,7.0,12.0,1.0,14.0,1.0
2006-02-08,2.0,5.0,32.0,1.0,9.0,1.0,2.0,7.0,6.0,10.0,21.0,,4.0,1.0,1.0,19.0,16.0,2.0,13.0,1.0
2006-02-09,2.0,5.0,12.0,1.0,6.0,2.0,1.0,3.0,2.0,4.0,13.0,1.0,6.0,,3.0,8.0,16.0,1.0,10.0,2.0
2006-02-10,2.0,6.0,19.0,,3.0,3.0,3.0,3.0,3.0,5.0,14.0,2.0,7.0,4.0,2.0,10.0,21.0,1.0,9.0,3.0
2006-02-11,2.0,3.0,25.0,1.0,1.0,9.0,9.0,6.0,1.0,5.0,8.0,,3.0,3.0,3.0,7.0,14.0,1.0,9.0,
2006-02-12,6.0,4.0,16.0,,,2.0,1.0,1.0,2.0,,10.0,,3.0,3.0,1.0,7.0,7.0,,12.0,1.0
2006-02-13,,2.0,18.0,3.0,3.0,2.0,3.0,7.0,8.0,7.0,7.0,,2.0,5.0,2.0,9.0,19.0,,11.0,
2006-02-14,1.0,3.0,28.0,,2.0,1.0,5.0,5.0,5.0,6.0,9.0,1.0,8.0,3.0,5.0,8.0,11.0,,10.0,3.0
2006-02-15,,3.0,25.0,1.0,3.0,1.0,2.0,5.0,1.0,12.0,16.0,1.0,5.0,1.0,6.0,12.0,15.0,3.0,7.0,2.0
2006-02-16,1.0,2.0,19.0,2.0,2.0,2.0,3.0,12.0,8.0,5.0,11.0,1.0,5.0,3.0,5.0,8.0,15.0,,4.0,1.0
2006-02-17,1.0,4.0,13.0,1.0,5.0,,3.0,3.0,3.0,6.0,16.0,2.0,9.0,3.0,2.0,7.0,19.0,1.0,9.0,
2006-02-18,3.0,7.0,26.0,,3.0,8.0,6.0,6.0,6.0,5.0,8.0,,9.0,,3.0,10.0,24.0,1.0,15.0,
2006-02-19,3.0,9.0,18.0,2.0,3.0,5.0,4.0,1.0,4.0,4.0,10.0,1.0,4.0,4.0,3.0,4.0,12.0,1.0,13.0,
2006-02-20,,2.0,67.0,1.0,6.0,4.0,,10.0,8.0,7.0,11.0,2.0,8.0,2.0,1.0,9.0,12.0,1.0,12.0,
2006-02-21,,2.0,32.0,2.0,7.0,,3.0,9.0,2.0,7.0,14.0,2.0,5.0,1.0,3.0,9.0,19.0,3.0,16.0,
2006-02-22,5.0,1.0,41.0,,7.0,1.0,3.0,10.0,4.0,13.0,12.0,3.0,10.0,3.0,3.0,11.0,16.0,2.0,13.0,1.0
2006-02-23,,4.0,25.0,2.0,5.0,5.0,,7.0,2.0,6.0,13.0,2.0,6.0,2.0,3.0,10.0,14.0,3.0,12.0,1.0
2006-02-24,1.0,1.0,10.0,,3.0,1.0,1.0,6.0,2.0,8.0,13.0,,7.0,1.0,5.0,8.0,18.0,3.0,13.0,
2006-02-25,,2.0,36.0,2.0,2.0,4.0,9.0,,2.0,6.0,16.0,1.0,6.0,,2.0,6.0,21.0,2.0,13.0,1.0
2006-02-26,1.0,2.0,51.0,1.0,1.0,1.0,,1.0,4.0,2.0,15.0,,3.0,5.0,3.0,9.0,9.0,1.0,18.0,
2006-02-27,2.0,6.0,22.0,3.0,10.0,,5.0,8.0,5.0,1.0,13.0,1.0,4.0,4.0,2.0,8.0,29.0,,10.0,2.0
2006-02-28,2.0,5.0,22.0,2.0,6.0,6.0,5.0,3.0,4.0,4.0,16.0,1.0,5.0,4.0,3.0,7.0,16.0,,11.0,3.0
2006-03-01,2.0,5.0,39.0,,4.0,1.0,8.0,5.0,2.0,5.0,23.0,1.0,5.0,3.0,3.0,16.0,18.0,1.0,18.0,4.0
2006-03-02,,3.0,45.0,4.0,9.0,2.0,1.0,9.0,3.0,4.0,12.0,,12.0,3.0,3.0,4.0,16.0,1.0,14.0,2.0
2006-03-03,1.0,2.0,38.0,1.0,1.0,,3.0,5.0,3.0,3.0,7.0,,10.0,2.0,4.0,11.0,15.0,1.0,11.0,1.0
2006-03-04,6.0,5.0,39.0,,2.0,6.0,4.0,6.0,3.0,6.0,12.0,2.0,6.0,2.0,5.0,8.0,17.0,2.0,13.0,1.0
2006-03-05,2.0,2.0,67.0,1.0,2.0,5.0,7.0,,6.0,7.0,18.0,,6.0,1.0,5.0,11.0,12.0,1.0,12.0,1.0
