Dispatch_Date,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Burglary Non-Residential,Burglary Residential,DRIVING UNDER THE INFLUENCE,Disorderly Conduct,Fraud,Motor Vehicle Theft,Narcotic / Drug Law Violations,Other Assaults,Other Sex Offenses (Not Commercialized),Recovered Stolen Motor Vehicle,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vagrancy/Loitering,Vandalism/Criminal Mischief,Weapon Violations
2008-10-24,1.0,1.0,21.0,1.0,5.0,4.0,5.0,10.0,,8.0,15.0,,2.0,1.0,5.0,14.0,20.0,6.0,21.0,1.0
2008-10-25,2.0,5.0,17.0,1.0,2.0,4.0,1.0,,1.0,7.0,11.0,,4.0,5.0,3.0,12.0,24.0,2.0,10.0,1.0
2008-10-26,6.0,6.0,21.0,3.0,6.0,3.0,1.0,2.0,,3.0,16.0,,5.0,4.0,3.0,14.0,10.0,,10.0,
2008-10-27,1.0,3.0,21.0,2.0,4.0,6.0,5.0,5.0,,3.0,8.0,2.0,1.0,2.0,8.0,14.0,17.0,,18.0,
2008-10-28,1.0,,12.0,,4.0,4.0,,5.0,1.0,7.0,10.0,3.0,3.0,2.0,2.0,14.0,15.0,1.0,11.0,1.0
2008-10-29,1.0,4.0,14.0,,4.0,2.0,4.0,9.0,2.0,6.0,10.0,,6.0,1.0,1.0,9.0,19.0,,19.0,
2008-10-30,1.0,8.0,15.0,2.0,11.0,4.0,28.0,8.0,3.0,4.0,25.0,,4.0,1.0,5.0,28.0,27.0,2.0,82.0,3.0
2008-10-31,1.0,8.0,13.0,,3.0,8.0,12.0,7.0,,9.0,19.0,,3.0,6.0,3.0,11.0,16.0,1.0,33.0,
2008-11-01,2.0,6.0,15.0,,2.0,5.0,2.0,4.0,2.0,3.0,14.0,,8.0,2.0,8.0,13.0,19.0,1.0,14.0,2.0
2008-11-02,2.0,5.0,16.0,,3.0,3.0,4.0,1.0,3.0,3.0,19.0,,11.0,6.0,3.0,10.0,16.0,5.0,19.0,1.0
2008-11-03,1.0,3.0,6.0,1.0,8.0,4.0,3.0,5.0,4.0,5.0,11.0,,10.0,7.0,4.0,11.0,22.0,2.0,24.0,
2008-11-04,,3.0,33.0,1.0,5.0,3.0,2.0,2.0,2.0,6.0,10.0,,12.0,4.0,2.0,9.0,18.0,,16.0,
2008-11-05,,3.0,18.0,,10.0,3.0,5.0,12.0,1.0,9.0,7.0,1.0,3.0,2.0,1.0,17.0,21.0,1.0,11.0,
2008-11-06,2.0,3.0,23.0,,6.0,3.0,5.0,5.0,1.0,8.0,11.0,,7.0,5.0,6.0,15.0,21.0,2.0,11.0,1.0
2008-11-07,3.0,3.0,17.0,,11.0,1.0,2.0,8.0,1.0,3.0,9.0,1.0,2.0,2.0,3.0,20.0,15.0,1.0,13.0,1.0
2008-11-08,,1.0,20.0,2.0,4.0,11.0,5.0,5.0,,7.0,5.0,,5.0,4.0,,8.0,14.0,,22.0,
2008-11-09,1.0,3.0,20.0,6.0,6.0,4.0,3.0,5.0,,3.0,20.0,,12.0,3.0,3.0,15.0,11.0,1.0,13.0,
2008-11-10,1.0,1.0,9.0,3.0,6.0,7.0,,15.0,2.0,2.0,6.0,,7.0,5.0,6.0,13.0,21.0,1.0,22.0,3.0
2008-11-11,,3.0,23.0,1.0,7.0,2.0,,4.0,1.0,8.0,7.0,,10.0,4.0,7.0,17.0,17.0,1.0,12.0,
2008-11-12,2.0,,11.0,,9.0,2.0,1.0,4.0,,4.0,6.0,1.0,13.0,8.0,3.0,11.0,18.0,11.0,4.0,
2008-11-13,4.0,2.0,19.0,1.0,3.0,3.0,2.0,7.0,,7.0,10.0,,7.0,4.0,2.0,14.0,17.0,4.0,4.0,
2008-11-14,,5.0,21.0,,5.0,3.0,3.0,6.0,3.0,8.0,13.0,1.0,9.0,4.0,3.0,14.0,20.0,1.0,12.0,
2008-11-15,1.0,7.0,21.0,2.0,4.0,9.0,3.0,5.0,1.0,6.0,7.0,,5.0,3.0,5.0,15.0,14.0,1.0,10.0,
2008-11-16,1.0,6.0,16.0,,8.0,9.0,3.0,2.0,,,17.0,,6.0,2.0,4.0,13.0,8.0,,18.0,1.0
2008-11-17,1.0,1.0,6.0,1.0,7.0,4.0,3.0,11.0,1.0,7.0,15.0,,9.0,8.0,4.0,8.0,24.0,,13.0,1.0
2008-11-18,,1.0,15.0,,8.0,5.0,3.0,9.0,1.0,7.0,5.0,1.0,8.0,2.0,1.0,12.0,20.0,1.0,10.0,1.0
2008-11-19,1.0,,17.0,2.0,5.0,1.0,,9.0,1.0,4.0,13.0,1.0,5.0,5.0,2.0,9.0,23.0,,9.0,1.0
2008-11-20,2.0,6.0,14.0,1.0,5.0,2.0,1.0,1.0,,4.0,8.0,,2.0,3.0,4.0,10.0,14.0,1.0,6.0,2.0
2008-11-21,2.0,4.0,17.0,,8.0,4.0,1.0,4.0,,3.0,16.0,,10.0,1.0,3.0,15.0,27.0,2.0,11.0,1.0
2008-11-22,2.0,2.0,23.0,,8.0,13.0,2.0,4.0,,6.0,8.0,,5.0,2.0,2.0,11.0,12.0,,14.0,2.0
2008-11-23,2.0,7.0,13.0,1.0,3.0,10.0,4.0,6.0,1.0,4.0,10.0,1.0,4.0,5.0,4.0,10.0,10.0,1.0,17.0,
2008-11-24,,6.0,6.0,1.0,9.0,3.0,1.0,5.0,1.0,3.0,8.0,4.0,7.0,4.0,8.0,12.0,32.0,,10.0,
2008-11-25,3.0,1.0,10.0,,6.0,2.0,1.0,11.0,1.0,11.0,4.0,1.0,7.0,3.0,,14.0,14.0,,18.0,1.0
2008-11-26,,,19.0,1.0,9.0,2.0,,11.0,2.0,8.0,10.0,,9.0,4.0,1.0,10.0,19.0,,13.0,2.0
2008-11-27,5.0,5.0,6.0,1.0,7.0,3.0,4.0,1.0,,3.0,10.0,1.0,1.0,3.0,5.0,6.0,11.0,,9.0,
2008-11-28,5.0,1.0,8.0,2.0,6.0,6.0,1.0,8.0,2.0,10.0,10.0,,6.0,2.0,1.0,15.0,17.0,1.0,16.0,
2008-11-29,2.0,6.0,18.0,1.0,4.0,6.0,,6.0,,12.0,8.0,1.0,7.0,4.0,1.0,10.0,17.0,,11.0,3.0
2008-11-30,2.0,3.0,23.0,1.0,9.0,9.0,1.0,5.0,1.0,6.0,15.0,,3.0,1.0,1.0,13.0,11.0,,13.0,
2008-12-01,2.0,5.0,15.0,,14.0,3.0,,11.0,1.0,7.0,8.0,,8.0,2.0,1.0,9.0,19.0,1.0,14.0,
2008-12-02,3.0,1.0,11.0,2.0,5.0,2.0,2.0,8.0,1.0,10.0,4.0,,11.0,4.0,5.0,11.0,15.0,8.0,9.0,3.0
2008-12-03,1.0,4.0,28.0,1.0,10.0,5.0,2.0,9.0,,6.0,14.0,3.0,3.0,3.0,5.0,7.0,15.0,,12.0,2.0
2008-12-04,,3.0,23.0,1.0,7.0,3.0,4.0,6.0,,7.0,14.0,3.0,3.0,1.0,1.0,17.0,15.0,1.0,6.0,2.0
2008-12-05,2.0,6.0,15.0,,10.0,2.0,4.0,8.0,,13.0,14.0,,5.0,2.0,6.0,9.0,24.0,,12.0,2.0
2008-12-06,3.0,1.0,14.0,5.0,8.0,6.0,1.0,5.0,,6.0,16.0,,4.0,5.0,4.0,13.0,20.0,,9.0,1.0
2008-12-07,4.0,1.0,24.0,3.0,2.0,9.0,1.0,4.0,2.0,2.0,9.0,1.0,3.0,3.0,3.0,11.0,20.0,,12.0,1.0
2008-12-08,1.0,4.0,13.0,3.0,5.0,3.0,4.0,6.0,1.0,2.0,8.0,1.0,10.0,6.0,5.0,11.0,11.0,,11.0,
2008-12-09,,2.0,17.0,2.0,15.0,4.0,1.0,9.0,1.0,6.0,8.0,1.0,7.0,3.0,5.0,12.0,23.0,,5.0,1.0
2008-12-10,1.0,8.0,16.0,2.0,8.0,2.0,,3.0,1.0,7.0,11.0,,5.0,4.0,6.0,9.0,25.0,2.0,11.0,2.0
2008-12-11,3.0,5.0,12.0,2.0,5.0,5.0,1.0,11.0,1.0,4.0,6.0,,2.0,2.0,3.0,12.0,19.0,,8.0,2.0
2008-12-12,,3.0,11.0,1.0,10.0,3.0,6.0,7.0,,7.0,10.0,,6.0,3.0,7.0,16.0,11.0,2.0,8.0,1.0
2008-12-13,,3.0,7.0,,9.0,12.0,5.0,4.0,1.0,15.0,13.0,,6.0,1.0,6.0,12.0,17.0,,13.0,3.0
2008-12-14,1.0,3.0,12.0,1.0,4.0,8.0,,3.0,,3.0,8.0,,12.0,3.0,7.0,6.0,11.0,,14.0,
2008-12-15,,4.0,7.0,1.0,7.0,6.0,,8.0,4.0,5.0,9.0,1.0,7.0,1.0,3.0,8.0,30.0,1.0,15.0,1.0
2008-12-16,2.0,4.0,23.0,1.0,4.0,7.0,4.0,9.0,1.0,12.0,12.0,1.0,8.0,1.0,3.0,10.0,28.0,,20.0,2.0
2008-12-17,2.0,4.0,15.0,1.0,9.0,4.0,1.0,3.0,1.0,11.0,12.0,,5.0,4.0,2.0,7.0,26.0,,12.0,1.0
2008-12-18,,3.0,20.0,2.0,5.0,,1.0,8.0,1.0,12.0,8.0,,4.0,2.0,1.0,10.0,18.0,1.0,6.0,4.0
2008-12-19,2.0,5.0,17.0,2.0,7.0,6.0,2.0,10.0,,11.0,13.0,,5.0,4.0,5.0,10.0,16.0,1.0,9.0,4.0
2008-12-20,,3.0,21.0,,9.0,14.0,,3.0,1.0,7.0,13.0,,9.0,2.0,2.0,6.0,22.0,,10.0,
2008-12-21,1.0,4.0,2.0,,8.0,5.0,4.0,5.0,1.0,2.0,6.0,,1.0,3.0,2.0,11.0,8.0,,10.0,
2008-12-22,,3.0,8.0,2.0,8.0,3.0,,9.0,1.0,2.0,5.0,,8.0,2.0,2.0,9.0,19.0,,10.0,
2008-12-23,2.0,4.0,11.0,,5.0,1.0,4.0,11.0,2.0,8.0,9.0,1.0,6.0,5.0,4.0,11.0,15.0,5.0,13.0,
2008-12-24,1.0,4.0,9.0,3.0,8.0,5.0,2.0,5.0,,1.0,10.0,,2.0,7.0,1.0,7.0,14.0,,6.0,1.0
2008-12-25,1.0,4.0,2.0,3.0,6.0,1.0,2.0,,,,8.0,,5.0,4.0,,7.0,5.0,5.0,5.0,2.0
2008-12-26,4.0,4.0,18.0,2.0,9.0,6.0,5.0,12.0,1.0,14.0,7.0,,2.0,4.0,6.0,10.0,27.0,1.0,11.0,2.0
2008-12-27,1.0,7.0,19.0,,4.0,8.0,8.0,5.0,,8.0,10.0,1.0,6.0,8.0,4.0,16.0,9.0,,18.0,
2008-12-28,1.0,3.0,26.0,2.0,6.0,4.0,2.0,1.0,1.0,5.0,16.0,,3.0,3.0,4.0,18.0,11.0,,17.0,
2008-12-29,3.0,1.0,27.0,2.0,7.0,3.0,4.0,5.0,2.0,3.0,10.0,1.0,11.0,6.0,4.0,11.0,15.0,,10.0,
2008-12-30,1.0,2.0,20.0,4.0,5.0,4.0,3.0,4.0,,8.0,7.0,1.0,8.0,3.0,1.0,13.0,14.0,,19.0,
2008-12-31,,1.0,10.0,,9.0,5.0,3.0,2.0,2.0,9.0,9.0,1.0,3.0,1.0,1.0,6.0,7.0,,11.0,
2009-01-01,3.0,5.0,11.0,,4.0,8.0,4.0,1.0,,7.0,19.0,,7.0,2.0,6.0,7.0,12.0,,23.0,3.0
2009-01-02,2.0,5.0,16.0,1.0,6.0,3.0,,6.0,2.0,9.0,9.0,2.0,9.0,1.0,3.0,12.0,20.0,,14.0,1.0
2009-01-03,,5.0,24.0,1.0,3.0,7.0,2.0,3.0,,6.0,5.0,,9.0,2.0,4.0,7.0,14.0,,13.0,2.0
2009-01-04,2.0,1.0,20.0,,4.0,3.0,,1.0,,1.0,9.0,2.0,1.0,7.0,4.0,7.0,12.0,,18.0,2.0
2009-01-05,,,8.0,5.0,9.0,2.0,,9.0,1.0,3.0,5.0,,5.0,4.0,2.0,7.0,26.0,,13.0,
2009-01-06,,,6.0,1.0,9.0,4.0,1.0,7.0,1.0,9.0,4.0,,5.0,3.0,1.0,6.0,19.0,,12.0,
2009-01-07,,2.0,14.0,2.0,4.0,4.0,,3.0,,4.0,6.0,,6.0,3.0,5.0,10.0,16.0,2.0,5.0,3.0
2009-01-08,,1.0,24.0,2.0,4.0,6.0,2.0,12.0,,8.0,10.0,,6.0,3.0,4.0,9.0,14.0,1.0,4.0,
2009-01-09,,,8.0,3.0,10.0,8.0,1.0,8.0,,10.0,11.0,1.0,6.0,5.0,4.0,8.0,24.0,,11.0,2.0
2009-01-10,2.0,3.0,7.0,,4.0,7.0,,2.0,1.0,8.0,5.0,,1.0,2.0,2.0,11.0,12.0,,17.0,2.0
2009-01-11,1.0,5.0,14.0,3.0,2.0,9.0,2.0,,1.0,5.0,4.0,,7.0,5.0,2.0,8.0,7.0,,8.0,
2009-01-12,2.0,3.0,15.0,1.0,4.0,3.0,1.0,11.0,1.0,4.0,10.0,1.0,6.0,1.0,2.0,9.0,19.0,,12.0,1.0
2009-01-13,5.0,3.0,34.0,4.0,5.0,5.0,5.0,7.0,1.0,5.0,15.0,1.0,8.0,3.0,8.0,10.0,15.0,3.0,7.0,2.0
2009-01-14,,4.0,33.0,6.0,9.0,2.0,3.0,12.0,,10.0,6.0,2.0,3.0,2.0,3.0,9.0,17.0,2.0,9.0,1.0
2009-01-15,,1.0,25.0,,5.0,4.0,1.0,6.0,2.0,3.0,13.0,,,2.0,3.0,9.0,24.0,2.0,11.0,
2009-01-16,2.0,7.0,11.0,1.0,2.0,1.0,,8.0,,6.0,13.0,,5.0,5.0,2.0,12.0,13.0,3.0,8.0,
2009-01-17,1.0,2.0,14.0,,5.0,8.0,9.0,5.0,2.0,6.0,14.0,,1.0,1.0,3.0,7.0,14.0,2.0,8.0,
2009-01-18,,7.0,16.0,,2.0,2.0,6.0,2.0,,1.0,10.0,1.0,4.0,6.0,3.0,8.0,17.0,,11.0,1.0
2009-01-19,,4.0,25.0,2.0,3.0,2.0,2.0,8.0,1.0,2.0,4.0,,4.0,2.0,5.0,4.0,11.0,,8.0,
2009-01-20,,2.0,32.0,1.0,9.0,2.0,,11.0,,9.0,9.0,,4.0,4.0,1.0,12.0,24.0,2.0,8.0,1.0
2009-01-21,,3.0,20.0,6.0,3.0,4.0,2.0,12.0,3.0,7.0,3.0,,4.0,2.0,3.0,9.0,19.0,4.0,6.0,1.0
2009-01-22,3.0,2.0,15.0,1.0,7.0,4.0,1.0,5.0,1.0,6.0,14.0,,5.0,2.0,5.0,11.0,15.0,1.0,4.0,
2009-01-23,1.0,6.0,21.0,1.0,10.0,1.0,3.0,9.0,,11.0,8.0,1.0,5.0,1.0,4.0,14.0,18.0,6.0,14.0,1.0
2009-01-24,1.0,4.0,14.0,2.0,5.0,6.0,1.0,3.0,,8.0,18.0,2.0,7.0,1.0,1.0,5.0,14.0,,13.0,1.0
2009-01-25,2.0,3.0,13.0,,6.0,11.0,2.0,2.0,1.0,1.0,19.0,1.0,2.0,,,4.0,10.0,,12.0,1.0
2009-01-26,1.0,2.0,13.0,1.0,5.0,5.0,,6.0,1.0,5.0,11.0,2.0,4.0,,1.0,10.0,24.0,,8.0,
2009-01-27,4.0,1.0,16.0,,11.0,1.0,5.0,9.0,,7.0,15.0,,3.0,2.0,5.0,6.0,13.0,,11.0,4.0
2009-01-28,1.0,3.0,14.0,,8.0,2.0,1.0,5.0,2.0,9.0,12.0,,4.0,,1.0,9.0,14.0,3.0,3.0,
2009-01-29,,1.0,20.0,1.0,3.0,1.0,1.0,4.0,3.0,3.0,11.0,,2.0,,5.0,7.0,20.0,2.0,5.0,
2009-01-30,1.0,4.0,15.0,1.0,3.0,5.0,3.0,12.0,1.0,6.0,10.0,1.0,3.0,1.0,1.0,5.0,14.0,1.0,9.0,1.0
2009-01-31,3.0,5.0,22.0,,4.0,10.0,4.0,5.0,,6.0,10.0,,2.0,2.0,,6.0,18.0,2.0,9.0,
2009-02-01,5.0,4.0,16.0,,4.0,10.0,1.0,,,6.0,12.0,1.0,2.0,1.0,3.0,7.0,17.0,,9.0,
2009-02-02,1.0,2.0,11.0,1.0,4.0,4.0,1.0,4.0,,11.0,16.0,1.0,8.0,2.0,2.0,11.0,18.0,,7.0,1.0
2009-02-03,1.0,3.0,14.0,,7.0,2.0,3.0,5.0,1.0,6.0,8.0,,1.0,4.0,9.0,8.0,16.0,5.0,10.0,
2009-02-04,1.0,,26.0,,4.0,3.0,3.0,5.0,,3.0,6.0,1.0,,2.0,1.0,3.0,11.0,1.0,4.0,1.0
2009-02-05,,3.0,15.0,,3.0,4.0,1.0,12.0,1.0,11.0,7.0,1.0,2.0,3.0,2.0,11.0,16.0,1.0,2.0,
2009-02-06,,2.0,21.0,1.0,4.0,4.0,,2.0,,10.0,13.0,,3.0,1.0,2.0,7.0,18.0,4.0,3.0,
2009-02-07,2.0,1.0,19.0,,2.0,7.0,4.0,4.0,1.0,7.0,12.0,1.0,6.0,2.0,,12.0,13.0,5.0,5.0,1.0
2009-02-08,,2.0,24.0,1.0,2.0,5.0,4.0,4.0,,5.0,18.0,,2.0,3.0,4.0,7.0,16.0,,8.0,1.0
2009-02-09,2.0,5.0,16.0,,4.0,1.0,1.0,10.0,2.0,2.0,12.0,1.0,2.0,1.0,3.0,9.0,13.0,,6.0,
2009-02-10,1.0,,27.0,1.0,3.0,,4.0,11.0,1.0,10.0,11.0,1.0,10.0,1.0,6.0,12.0,22.0,1.0,3.0,
2009-02-11,2.0,2.0,38.0,2.0,2.0,4.0,11.0,4.0,2.0,9.0,5.0,,7.0,,1.0,9.0,16.0,1.0,21.0,2.0
2009-02-12,1.0,,21.0,1.0,3.0,4.0,3.0,7.0,,6.0,9.0,,4.0,1.0,3.0,10.0,22.0,1.0,7.0,1.0
2009-02-13,1.0,3.0,7.0,,5.0,2.0,2.0,7.0,,7.0,9.0,,4.0,2.0,1.0,16.0,21.0,1.0,12.0,1.0
2009-02-14,2.0,5.0,12.0,,4.0,5.0,4.0,6.0,,12.0,11.0,1.0,5.0,3.0,4.0,9.0,13.0,4.0,9.0,1.0
2009-02-15,,3.0,35.0,1.0,4.0,7.0,6.0,3.0,2.0,6.0,7.0,1.0,1.0,,5.0,7.0,13.0,,16.0,
2009-02-16,,2.0,21.0,1.0,1.0,6.0,6.0,4.0,1.0,12.0,9.0,1.0,8.0,3.0,2.0,9.0,20.0,2.0,11.0,
2009-02-17,,1.0,18.0,2.0,5.0,4.0,3.0,5.0,,8.0,5.0,,7.0,1.0,1.0,16.0,10.0,1.0,8.0,1.0
2009-02-18,,,26.0,,2.0,3.0,2.0,7.0,,10.0,10.0,,3.0,4.0,2.0,8.0,11.0,3.0,11.0,
2009-02-19,1.0,1.0,21.0,1.0,7.0,2.0,3.0,11.0,3.0,10.0,4.0,2.0,4.0,2.0,5.0,11.0,10.0,3.0,4.0,1.0
2009-02-20,1.0,1.0,14.0,,1.0,2.0,3.0,6.0,,5.0,18.0,,7.0,,2.0,6.0,22.0,1.0,5.0,
2009-02-21,2.0,3.0,20.0,1.0,1.0,8.0,4.0,5.0,4.0,13.0,11.0,,6.0,3.0,1.0,15.0,17.0,2.0,15.0,
2009-02-22,1.0,,26.0,1.0,1.0,5.0,3.0,1.0,3.0,7.0,12.0,,3.0,2.0,1.0,19.0,15.0,1.0,13.0,
2009-02-23,1.0,1.0,11.0,3.0,4.0,4.0,2.0,7.0,,4.0,8.0,1.0,4.0,3.0,3.0,12.0,24.0,,8.0,2.0
2009-02-24,3.0,5.0,28.0,3.0,3.0,3.0,11.0,7.0,1.0,6.0,14.0,1.0,2.0,3.0,1.0,10.0,14.0,3.0,12.0,
2009-02-25,,3.0,24.0,,5.0,7.0,3.0,7.0,,9.0,15.0,2.0,1.0,,2.0,14.0,16.0,3.0,9.0,
2009-02-26,,4.0,34.0,1.0,2.0,2.0,3.0,4.0,1.0,13.0,11.0,,6.0,,1.0,4.0,16.0,4.0,11.0,1.0
2009-02-27,,4.0,21.0,,6.0,5.0,8.0,9.0,,8.0,11.0,,3.0,1.0,2.0,6.0,18.0,3.0,5.0,1.0
2009-02-28,,5.0,13.0,1.0,4.0,5.0,,3.0,2.0,10.0,12.0,1.0,4.0,3.0,7.0,9.0,15.0,2.0,13.0,1.0
2009-03-01,5.0,2.0,9.0,,3.0,6.0,4.0,4.0,1.0,8.0,9.0,,5.0,2.0,1.0,9.0,14.0,1.0,15.0,
2009-03-02,1.0,6.0,7.0,1.0,1.0,1.0,,3.0,1.0,,2.0,1.0,1.0,,1.0,5.0,10.0,,8.0,
2009-03-03,,4.0,7.0,1.0,2.0,2.0,,9.0,1.0,3.0,11.0,,4.0,1.0,1.0,4.0,11.0,,3.0,2.0
2009-03-04,1.0,1.0,15.0,,1.0,5.0,1.0,8.0,,5.0,11.0,,3.0,1.0,5.0,6.0,10.0,3.0,4.0,
2009-03-05,3.0,6.0,21.0,,4.0,3.0,4.0,6.0,,4.0,15.0,,4.0,3.0,,8.0,20.0,4.0,6.0,
2009-03-06,3.0,11.0,11.0,,3.0,6.0,1.0,3.0,1.0,13.0,17.0,,1.0,4.0,3.0,11.0,11.0,3.0,12.0,1.0
2009-03-07,2.0,1.0,27.0,1.0,2.0,3.0,5.0,1.0,,13.0,9.0,,1.0,2.0,2.0,10.0,21.0,5.0,13.0,
2009-03-08,1.0,4.0,19.0,1.0,3.0,6.0,2.0,2.0,,4.0,14.0,1.0,6.0,2.0,2.0,12.0,9.0,,17.0,1.0
2009-03-09,1.0,6.0,11.0,,5.0,2.0,2.0,4.0,,3.0,8.0,,4.0,3.0,5.0,9.0,14.0,2.0,10.0,1.0
2009-03-10,,,28.0,,4.0,3.0,3.0,10.0,2.0,9.0,14.0,,4.0,3.0,4.0,11.0,14.0,3.0,7.0,2.0
2009-03-11,1.0,3.0,34.0,,6.0,3.0,3.0,7.0,3.0,5.0,11.0,,3.0,3.0,2.0,9.0,20.0,2.0,11.0,
2009-03-12,,2.0,18.0,,1.0,1.0,,5.0,1.0,8.0,11.0,1.0,5.0,,7.0,7.0,21.0,,11.0,
2009-03-13,,4.0,22.0,,4.0,3.0,4.0,8.0,,10.0,8.0,,5.0,,4.0,14.0,20.0,1.0,16.0,2.0
2009-03-14,1.0,2.0,32.0,1.0,3.0,13.0,1.0,4.0,,7.0,15.0,1.0,4.0,2.0,2.0,7.0,22.0,1.0,21.0,2.0
2009-03-15,4.0,4.0,19.0,1.0,2.0,6.0,6.0,5.0,,8.0,12.0,,5.0,,1.0,9.0,17.0,,20.0,
2009-03-16,1.0,6.0,10.0,,2.0,1.0,,7.0,1.0,7.0,16.0,2.0,5.0,2.0,5.0,13.0,13.0,1.0,19.0,1.0
2009-03-17,,9.0,29.0,2.0,5.0,4.0,1.0,6.0,,13.0,13.0,3.0,4.0,2.0,1.0,9.0,13.0,4.0,7.0,4.0
2009-03-18,1.0,1.0,32.0,,1.0,4.0,3.0,11.0,1.0,9.0,17.0,,6.0,4.0,7.0,11.0,9.0,,6.0,2.0
2009-03-19,1.0,4.0,25.0,,4.0,3.0,2.0,12.0,2.0,11.0,24.0,1.0,2.0,,1.0,7.0,19.0,3.0,17.0,
2009-03-20,3.0,6.0,28.0,2.0,6.0,2.0,7.0,6.0,1.0,10.0,18.0,,4.0,2.0,2.0,10.0,21.0,5.0,21.0,
2009-03-21,2.0,2.0,34.0,,2.0,1.0,4.0,2.0,,12.0,15.0,3.0,3.0,2.0,6.0,12.0,15.0,,16.0,
2009-03-22,,3.0,11.0,1.0,3.0,3.0,6.0,2.0,1.0,5.0,12.0,1.0,5.0,1.0,3.0,10.0,14.0,1.0,12.0,1.0
2009-03-23,1.0,4.0,16.0,2.0,7.0,3.0,1.0,10.0,1.0,4.0,17.0,1.0,6.0,,2.0,7.0,19.0,1.0,11.0,
2009-03-24,2.0,3.0,20.0,,3.0,3.0,,8.0,,13.0,12.0,1.0,3.0,,3.0,9.0,11.0,3.0,7.0,3.0
2009-03-25,1.0,4.0,32.0,1.0,4.0,2.0,5.0,5.0,1.0,10.0,13.0,,5.0,1.0,4.0,13.0,22.0,1.0,9.0,
2009-03-26,3.0,5.0,20.0,3.0,5.0,5.0,6.0,5.0,1.0,10.0,16.0,2.0,4.0,1.0,2.0,13.0,16.0,3.0,7.0,
2009-03-27,1.0,5.0,22.0,,3.0,3.0,5.0,12.0,,11.0,13.0,1.0,5.0,2.0,,8.0,25.0,1.0,11.0,2.0
2009-03-28,,3.0,26.0,1.0,4.0,5.0,6.0,2.0,,3.0,10.0,,7.0,2.0,2.0,10.0,20.0,2.0,13.0,1.0
2009-03-29,,6.0,17.0,1.0,3.0,4.0,3.0,1.0,2.0,9.0,14.0,1.0,2.0,1.0,3.0,9.0,16.0,,8.0,
2009-03-30,,1.0,18.0,1.0,4.0,1.0,2.0,4.0,1.0,4.0,21.0,,7.0,,2.0,8.0,20.0,2.0,16.0,
2009-03-31,,2.0,22.0,1.0,9.0,4.0,6.0,12.0,1.0,12.0,14.0,,9.0,,3.0,11.0,16.0,1.0,13.0,1.0
2009-04-01,2.0,3.0,22.0,1.0,2.0,2.0,2.0,6.0,,11.0,23.0,1.0,8.0,5.0,4.0,6.0,23.0,,12.0,2.0
2009-04-02,2.0,4.0,25.0,,4.0,3.0,3.0,9.0,1.0,8.0,24.0,,3.0,1.0,5.0,11.0,14.0,2.0,7.0,1.0
2009-04-03,,4.0,19.0,2.0,5.0,5.0,3.0,3.0,1.0,13.0,14.0,1.0,4.0,1.0,2.0,9.0,20.0,2.0,8.0,1.0
2009-04-04,,2.0,28.0,1.0,2.0,6.0,1.0,4.0,,4.0,12.0,,4.0,1.0,3.0,8.0,9.0,,13.0,2.0
2009-04-05,,3.0,24.0,2.0,3.0,8.0,5.0,3.0,,9.0,15.0,1.0,3.0,2.0,3.0,10.0,13.0,,13.0,1.0
2009-04-06,2.0,3.0,21.0,,6.0,1.0,2.0,3.0,2.0,7.0,11.0,1.0,6.0,7.0,3.0,16.0,20.0,,14.0,3.0
2009-04-07,,3.0,18.0,1.0,5.0,5.0,6.0,11.0,,12.0,10.0,,4.0,1.0,5.0,14.0,18.0,2.0,15.0,1.0
2009-04-08,2.0,3.0,35.0,,3.0,1.0,2.0,7.0,1.0,10.0,7.0,,4.0,2.0,3.0,10.0,13.0,1.0,15.0,
2009-04-09,2.0,2.0,61.0,1.0,3.0,4.0,6.0,4.0,,11.0,10.0,,1.0,1.0,2.0,13.0,16.0,1.0,16.0,
2009-04-10,1.0,4.0,29.0,,2.0,5.0,1.0,5.0,2.0,15.0,16.0,,6.0,1.0,4.0,10.0,24.0,,11.0,1.0
2009-04-11,1.0,4.0,18.0,,6.0,4.0,9.0,4.0,1.0,9.0,8.0,,4.0,1.0,4.0,8.0,17.0,,14.0,2.0
2009-04-12,2.0,2.0,16.0,5.0,4.0,7.0,3.0,1.0,,4.0,12.0,2.0,3.0,1.0,8.0,2.0,11.0,,12.0,1.0
2009-04-13,4.0,3.0,20.0,,2.0,2.0,2.0,10.0,1.0,3.0,13.0,2.0,4.0,2.0,5.0,7.0,13.0,,12.0,1.0
2009-04-14,1.0,3.0,13.0,1.0,8.0,2.0,2.0,9.0,,7.0,13.0,1.0,6.0,,2.0,3.0,18.0,4.0,5.0,1.0
2009-04-15,,4.0,17.0,4.0,2.0,2.0,3.0,6.0,1.0,15.0,10.0,,3.0,2.0,3.0,8.0,20.0,3.0,7.0,1.0
2009-04-16,1.0,7.0,24.0,2.0,3.0,3.0,6.0,6.0,,5.0,16.0,1.0,9.0,1.0,5.0,6.0,11.0,4.0,13.0,
2009-04-17,4.0,7.0,13.0,1.0,3.0,6.0,13.0,8.0,1.0,7.0,7.0,1.0,5.0,1.0,3.0,7.0,17.0,2.0,9.0,2.0
